Date,open,close,high,low,volumn,price_change,day,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,percent_change
2016-04-28,261.95,272.5,273.5,255.3,359970.0,-0.0327,2016-04-28,246.98000000000002,241.08500000000004,233.8225,347186.0,219844.0,145351.0,0.15466101694915246
2016-04-29,259.2,260.55,268.7,256.45,123560.0,-0.0105,2016-04-29,249.83,243.9,235.6,365398.0,226976.0,142455.0,-0.043853211009174276
2016-05-02,261.65,257.25,266.9,257.25,111600.0,0.0095,2016-05-02,253.27000000000004,246.325,237.2125,379726.0,234400.0,144160.0,-0.012665515256188864
2016-05-03,261.7,265.3,267.4,260.0,148800.0,0.0002,2016-05-03,258.32000000000005,249.35500000000002,239.22250000000003,402786.0,246511.0,144945.5,0.0312925170068028
2016-05-04,254.2,261.0,261.05,253.1,47200.0,-0.0287,2016-05-04,263.32,252.41500000000002,241.11000000000004,158226.0,222406.0,144696.0,-0.0162080663399925
2016-05-05,266.55,255.05,270.95,246.1,218960.0,0.048600000000000004,2016-05-05,259.83,253.40499999999997,242.55,130024.0,238605.0,153306.0,-0.022796934865900287
2016-05-06,260.6,264.0,266.5,260.0,56690.0,-0.0223,2016-05-06,260.52,255.175,244.55,116650.0,241024.0,154850.0,0.03509115859635359
2016-05-09,260.5,255.0,265.0,255.0,33690.0,-0.0004,2016-05-09,260.07,256.66999999999996,246.0975,101068.0,240397.0,153348.5,-0.03409090909090906
2016-05-10,264.95,261.65,271.65,257.0,127510.0,0.0171,2016-05-10,259.34000000000003,258.83,247.68250000000003,96810.0,249798.0,158751.5,0.026078431372548838
2016-05-11,262.05,262.0,266.25,259.25,43580.0,-0.0109,2016-05-11,259.54,261.43,249.38250000000002,96086.0,127156.0,156719.5,0.0013376648194154406
2016-05-12,264.45,262.1,267.5,262.1,43160.0,0.0092,2016-05-12,260.95,260.39,250.7375,60926.0,95475.0,157659.5,0.0003816793893129944
2016-05-13,266.8,264.7,271.8,260.6,162680.0,0.0089,2016-05-13,261.09000000000003,260.805,252.35250000000002,82124.0,99387.0,163181.5,0.009919877909194907
2016-05-16,265.8,268.0,269.0,262.2,45030.0,-0.0037,2016-05-16,263.69,261.88,254.10250000000002,84392.0,92730.0,163565.0,0.012466943709860345
2016-05-17,265.45,267.5,269.9,265.0,50660.0,-0.0013,2016-05-17,264.86,262.1,255.72750000000002,69022.0,82916.0,164713.5,-0.001865671641791078
2016-05-18,264.65,263.35,268.0,260.0,35590.0,-0.003,2016-05-18,265.13,262.335,257.375,67424.0,81755.0,152080.5,-0.015514018691588749
2016-05-19,265.35,267.0,274.0,264.6,154610.0,0.0026,2016-05-19,266.11,263.53000000000003,258.4675,89714.0,75320.0,156962.5,0.013859882285931269
2016-05-20,262.45,264.7,276.75,258.2,760330.0,-0.0109,2016-05-20,266.11,263.6,259.3875,209244.0,145684.0,193354.0,-0.008614232209737893
2016-05-23,261.15,268.0,269.9,258.1,62840.0,-0.005,2016-05-23,266.11,264.9,260.78499999999997,212806.0,148599.0,194498.0,0.012466943709860345
2016-05-24,253.65,264.6,264.6,250.2,49800.0,-0.0287,2016-05-24,265.53000000000003,265.19500000000005,262.0125,212634.0,140828.0,195313.0,-0.012686567164179041
2016-05-25,255.55,255.9,260.7,254.05,59880.0,0.0075,2016-05-25,264.04,264.585,263.0075,217492.0,142458.0,134807.0,-0.03287981859410438
2016-05-26,258.55,257.0,259.9,255.1,28330.0,0.011699999999999999,2016-05-26,262.03999999999996,264.075,262.23249999999996,192236.0,140975.0,118225.0,0.004298554122704079
2016-05-27,254.45,258.0,261.0,254.25,29450.0,-0.0159,2016-05-27,260.7,263.40500000000003,262.105,46060.0,127652.0,113519.5,0.0038910505836575737
2016-05-30,255.75,254.0,259.55,250.3,51500.0,0.0051,2016-05-30,257.9,262.005,261.9425,43792.0,128299.0,110514.5,-0.015503875968992276
2016-05-31,267.9,257.9,271.5,257.0,415800.0,0.0475,2016-05-31,256.56,261.04499999999996,261.5725,116992.0,164813.0,123864.5,0.015354330708661434
