Date,Open,High,Low,Close,Adj Close,Volume
2020-12-29,235000.0,238000.0,233000.0,234500.0,234500.0,69113
2020-12-30,235500.0,241000.0,234500.0,239500.0,239500.0,88494
2021-01-04,241500.0,241500.0,237500.0,238500.0,238500.0,111422
2021-01-05,237500.0,240500.0,235000.0,239500.0,239500.0,107430
2021-01-06,241000.0,242000.0,237000.0,237000.0,237000.0,112348
2021-01-07,238500.0,241500.0,237500.0,240000.0,240000.0,146623
2021-01-08,240500.0,251500.0,240000.0,247500.0,247500.0,277387
2021-01-11,253000.0,255000.0,240500.0,243000.0,243000.0,277187
2021-01-12,242500.0,258500.0,240000.0,255000.0,255000.0,379558
2021-01-13,258000.0,258000.0,251000.0,254000.0,254000.0,190149
2021-01-14,254500.0,260000.0,251500.0,254000.0,254000.0,201518
2021-01-15,257000.0,259000.0,247000.0,247500.0,247500.0,189827
2021-01-18,244000.0,245000.0,238000.0,239000.0,239000.0,176946
2021-01-19,242000.0,244500.0,240500.0,243500.0,243500.0,88072
2021-01-20,244500.0,245500.0,239500.0,243500.0,243500.0,108747
2021-01-21,246000.0,253000.0,243000.0,249500.0,249500.0,158156
2021-01-22,251000.0,257500.0,247000.0,251000.0,251000.0,170501
2021-01-25,252500.0,256000.0,251000.0,255000.0,255000.0,121020
2021-01-26,257500.0,257500.0,247500.0,248000.0,248000.0,155454
2021-01-27,249000.0,251500.0,242000.0,243500.0,243500.0,127695
2021-01-28,237500.0,240500.0,235500.0,238000.0,238000.0,128109
2021-01-29,240500.0,241000.0,231000.0,233500.0,233500.0,140334
2021-02-01,233500.0,237000.0,230500.0,237000.0,237000.0,76057
2021-02-02,237500.0,242000.0,236000.0,238000.0,238000.0,80088
2021-02-03,241500.0,242000.0,237000.0,239500.0,239500.0,61712
2021-02-04,237500.0,240000.0,235000.0,235500.0,235500.0,81242
2021-02-05,237500.0,238500.0,236000.0,238000.0,238000.0,52616
2021-02-08,238000.0,246500.0,237000.0,245000.0,245000.0,157255
2021-02-09,245000.0,248000.0,242000.0,242000.0,242000.0,90422
2021-02-10,242500.0,244000.0,238500.0,244000.0,244000.0,57876
2021-02-15,246000.0,248000.0,243000.0,246000.0,246000.0,95707
2021-02-16,248000.0,256500.0,245500.0,254000.0,254000.0,238532
2021-02-17,255000.0,255000.0,249000.0,251000.0,251000.0,117950
2021-02-18,254500.0,270000.0,254000.0,264000.0,264000.0,659870
2021-02-19,264000.0,266000.0,255000.0,259500.0,259500.0,246250
2021-02-22,262500.0,266500.0,259500.0,260000.0,260000.0,199316
2021-02-23,259500.0,276500.0,256000.0,274000.0,274000.0,440567
2021-02-24,278000.0,283000.0,266000.0,269500.0,269500.0,362475
2021-02-25,274500.0,275500.0,269500.0,274000.0,274000.0,151346
2021-02-26,267500.0,273500.0,263500.0,267000.0,267000.0,186095
2021-03-02,273500.0,279000.0,270500.0,277500.0,277500.0,208163
2021-03-03,276000.0,294000.0,276000.0,289500.0,289500.0,317893
2021-03-04,286500.0,295000.0,284000.0,292000.0,292000.0,199955
2021-03-05,288000.0,296000.0,285000.0,294500.0,294500.0,164541
2021-03-08,296000.0,297000.0,287000.0,288000.0,288000.0,129915
2021-03-09,291500.0,300000.0,289000.0,291500.0,291500.0,183899
2021-03-10,292000.0,297000.0,288500.0,295000.0,295000.0,141832
2021-03-11,294000.0,294500.0,282500.0,287500.0,287500.0,305103
2021-03-12,291000.0,296500.0,284000.0,287000.0,287000.0,151836
2021-03-15,289000.0,291000.0,283500.0,285500.0,285500.0,122671
2021-03-16,287000.0,288500.0,282500.0,285500.0,285500.0,129795
2021-03-17,289500.0,291000.0,282000.0,284000.0,284000.0,154923
2021-03-18,285500.0,287500.0,283000.0,284000.0,284000.0,97938
2021-03-19,279500.0,281000.0,275000.0,277500.0,277500.0,157682
2021-03-22,278500.0,281500.0,275000.0,281500.0,281500.0,78336
2021-03-23,282500.0,283000.0,274000.0,275000.0,275000.0,103345
2021-03-24,271000.0,273500.0,269000.0,270000.0,270000.0,86264
2021-03-25,269500.0,283000.0,269000.0,280000.0,280000.0,163719
2021-03-26,282000.0,285500.0,281000.0,281500.0,281500.0,104756
2021-03-29,282000.0,282000.0,276000.0,277000.0,277000.0,53284
2021-03-30,276500.0,279500.0,276000.0,279000.0,279000.0,41692
2021-03-31,279000.0,281500.0,276500.0,281000.0,281000.0,58150
2021-04-01,282500.0,283000.0,277500.0,279000.0,279000.0,72605
2021-04-02,278000.0,278500.0,272000.0,274000.0,274000.0,119686
2021-04-05,275000.0,286000.0,274000.0,285500.0,285500.0,117152
2021-04-06,285500.0,289500.0,282500.0,289000.0,289000.0,131638
2021-04-07,288500.0,288500.0,283000.0,283500.0,283500.0,96638
