Date,Open,High,Low,Close,Volume
2020-11-23,73700,73800,73000,73400,1815980
2020-11-24,73300,75400,73300,74600,3248775
2020-11-25,75500,75500,73200,73400,3516395
2020-11-26,73500,74900,73300,74800,2697850
2020-11-27,75100,75500,74200,74600,1679180
2020-11-30,74600,74800,73600,73600,2724950
2020-12-01,73900,75000,73800,74900,2263615
2020-12-02,75100,75100,74200,74600,2202500
2020-12-03,74600,74800,73800,74800,2321855
2020-12-04,74800,78500,74200,77900,7808725
2020-12-07,79000,79000,76100,77000,4473715
2020-12-08,77500,77600,74800,74900,3843000
2020-12-09,75000,75600,74600,75000,2899525
2020-12-10,74200,75600,73500,74100,4092785
2020-12-11,74800,76000,74600,74900,2192025
2020-12-14,75300,76200,74500,74700,2401440
2020-12-15,74700,75100,73800,74200,1965785
2020-12-16,74700,75000,74200,74400,1346265
2020-12-17,74800,74800,73700,73800,2275655
2020-12-18,73800,73900,73100,73400,2137165
2020-12-21,73400,76000,73400,75900,4099395
2020-12-22,76000,77900,75100,75200,4382580
2020-12-23,76200,77100,75400,75500,3149760
2020-12-24,75700,76000,74400,74800,2325660
2020-12-28,74900,75400,73900,74600,3232320
2020-12-29,76200,77100,75600,76900,4287020
2020-12-30,76900,78800,76700,77900,4065710
2021-01-04,78400,79300,77100,79200,4268700
2021-01-05,78600,79100,77400,78600,3742795
2021-01-06,79000,82000,78900,79100,7178575
2021-01-07,80400,80700,78600,80500,3875955
2021-01-08,82600,87200,80900,86800,12333575
2021-01-11,88200,92600,85800,90600,15788735
2021-01-12,89200,92000,86600,91500,7889360
2021-01-13,91700,92400,89900,90900,4032010
2021-01-14,90800,92600,90000,90300,4010380
2021-01-15,90400,91800,87300,87500,4978630
2021-01-18,86700,88300,85400,85500,4199920
2021-01-19,85600,88900,85600,88000,2919985
2021-01-20,89600,90000,87400,88800,2981700
2021-01-21,90500,92200,90400,90800,3395465
2021-01-22,91200,95200,90500,92600,5811975
2021-01-25,94400,95100,92000,94700,3600850
2021-01-26,95800,95800,92100,92200,4061330
2021-01-27,92600,95400,92200,93000,3599070
2021-01-28,90800,93700,90400,91600,4609060
2021-01-29,92000,92100,87200,88200,5350465
2021-02-01,87200,88600,85000,88300,4550505
2021-02-02,90000,91400,88700,89100,3314525
2021-02-03,90100,92400,89400,92400,3790485
2021-02-04,92600,92600,89800,90900,2584185
2021-02-05,91400,92200,89500,91000,2042080
2021-02-08,91000,92400,90000,91400,2580575
2021-02-09,92000,93500,90500,92200,3677825
2021-02-10,93200,98100,93200,97900,9072415
2021-02-15,99800,101000,98400,100400,5262740
2021-02-16,100800,103800,99900,102800,5380240
2021-02-17,103000,103000,100600,101800,2812860
2021-02-18,101200,103400,100200,100200,2334610
2021-02-19,99400,101200,98000,100800,3478320
2021-02-22,101000,102000,98000,98100,3204965
2021-02-23,96300,98500,95400,97400,3327085
2021-02-24,97400,98500,94500,94700,3336045
2021-02-25,95600,96900,94700,96900,2812745
2021-02-26,99500,100400,96100,97600,8086380
2021-03-02,99800,100800,98000,98300,4610170
2021-03-03,98100,99000,97600,98700,2641605
2021-03-04,97500,98000,96200,96400,3474450
2021-03-05,93800,94800,92600,94200,3563165
2021-03-08,94400,94900,90800,90800,3407620
2021-03-09,89700,90300,86900,88200,5343350
2021-03-10,90500,92900,89800,92000,4498345
2021-03-11,92100,96900,91400,95800,4640455
2021-03-12,97800,98000,95400,96200,2175315
2021-03-15,96000,96400,94400,95800,1729905
2021-03-16,96200,97000,95600,95800,1354265
2021-03-17,95800,98200,95600,97000,2019765
2021-03-18,97700,100800,97200,99600,3858485
2021-03-19,97700,99400,96800,98500,2584905
2021-03-22,98600,99300,97600,98800,1575175
2021-03-23,99200,100600,97100,98100,1899820
2021-03-24,97300,98400,96400,98400,1442815
2021-03-25,98000,98200,96400,97000,1942655
2021-03-26,97600,99000,97200,99000,1922735
2021-03-29,99200,99300,97000,97500,1745565
2021-03-30,98000,99400,97900,98700,1555365
2021-03-31,98800,101000,98200,99600,2515180
2021-04-01,100000,100800,98400,99800,2062115
2021-04-02,101600,101600,99800,100200,1493205
2021-04-05,100600,101000,100000,100400,1552000
2021-04-06,101200,109000,101000,108800,8624790
2021-04-07,108800,108800,105200,108400,4104480
2021-04-08,107800,112200,106800,109600,4562570
2021-04-09,110800,112200,110200,111600,3944195
2021-04-12,111600,111600,111600,111600,0
2021-04-13,111600,111600,111600,111600,0
2021-04-14,111600,111600,111600,111600,0
2021-04-15,120500,132500,118000,120500,17115015
2021-04-16,115500,120500,115500,119000,13709555
2021-04-19,120000,122000,117500,119000,5441693
2021-04-20,119000,121000,118000,119500,2952174
