Date,Open,High,Low,Close,Volume,fluct_grade
2021-02-10,242500,244000,238500,244000,57876,3
2021-02-15,246000,248000,243000,246000,95707,3
2021-02-16,248000,256500,245500,254000,238532,4
2021-02-17,255000,255000,249000,251000,117950,2
2021-02-18,254500,270000,254000,264000,659870,5
2021-02-19,264000,266000,255000,259500,246250,2
2021-02-22,262500,266500,259500,260000,199316,3
2021-02-23,259500,276500,256000,274000,440567,5
2021-02-24,278000,283000,266000,269500,362475,2
2021-02-25,274500,275500,269500,274000,151346,3
2021-02-26,267500,273500,263500,267000,186095,1
2021-03-02,273500,279000,270500,277500,208163,4
2021-03-03,276000,294000,276000,289500,317893,5
2021-03-04,286500,295000,284000,292000,199955,3
2021-03-05,288000,296000,285000,294500,164541,3
2021-03-08,296000,297000,287000,288000,129915,1
2021-03-09,291500,300000,289000,291500,183899,3
2021-03-10,292000,297000,288500,295000,141832,3
2021-03-11,294000,294500,282500,287500,305103,1
2021-03-12,291000,296500,284000,287000,151836,2
2021-03-15,289000,291000,283500,285500,122671,2
2021-03-16,287000,288500,282500,285500,129795,3
2021-03-17,289500,291000,282000,284000,154923,2
2021-03-18,285500,287500,283000,284000,97938,3
2021-03-19,279500,281000,275000,277500,157682,1
2021-03-22,278500,281500,275000,281500,78336,3
2021-03-23,282500,283000,274000,275000,103345,1
2021-03-24,271000,273500,269000,270000,86264,2
2021-03-25,269500,283000,269000,280000,163719,4
2021-03-26,282000,285500,281000,281500,104756,3
2021-03-29,282000,282000,276000,277000,53284,2
2021-03-30,276500,279500,276000,279000,41692,3
2021-03-31,279000,281500,276500,281000,58150,3
2021-04-01,282500,283000,277500,279000,72605,2
2021-04-02,278000,278500,272000,274000,119686,2
2021-04-05,275000,286000,274000,285500,117152,5
2021-04-06,285500,289500,282500,289000,131638,3
2021-04-07,288500,288500,283000,283500,96638,2
2021-04-08,282500,282500,278000,279500,89647,2
2021-04-09,278500,282000,277000,280500,59869,3
2021-04-12,280000,281500,277500,280000,58123,2
2021-04-13,281000,281500,278500,280000,59138,3
2021-04-14,280000,282000,276000,277000,113845,2
2021-04-15,276500,278000,273000,274000,98145,2
2021-04-16,275000,278500,273000,277500,80740,3
2021-04-19,278000,279000,275500,278000,58741,3
2021-04-20,277000,282500,277000,281000,78292,3
2021-04-21,279500,280000,273500,274500,83687,1
2021-04-22,275000,275500,273000,273000,55325,2
2021-04-23,271000,275000,270500,275000,61586,3
2021-04-26,275000,281000,272500,281000,99432,4
2021-04-27,280500,283500,278000,283500,84383,3
2021-04-28,283500,293000,281000,290500,255215,4
2021-04-29,289000,300000,287500,300000,270085,4
2021-04-30,300000,315500,299000,304500,329369,3
2021-05-03,304500,321000,304500,312500,217201,4
2021-05-04,314500,319000,305000,315500,180233,3
2021-05-06,314500,318000,308000,312500,143297,2
2021-05-07,315500,321000,311500,315500,129993,3
2021-05-10,314000,323500,311500,319000,136190,3
2021-05-11,318000,322500,312000,322000,114645,3
2021-05-12,321000,323500,313000,320000,148742,2
2021-05-13,316000,322000,305500,307000,236725,1
2021-05-14,309500,315000,306500,308000,114256,3
2021-05-17,310000,322500,303500,318500,149448,4
2021-05-18,316000,320500,309000,311500,93459,1
2021-05-20,308500,315000,308000,311500,57707,3
2021-05-21,311000,313000,300000,302000,105193,1
2021-05-24,299500,305500,298500,302000,54411,3
2021-05-25,302500,308500,301000,305500,66135,3
2021-05-26,306000,316500,306000,314000,183139,4
2021-05-27,317000,319500,309000,309000,99511,2
2021-05-28,312500,316500,310500,315000,110153,3
2021-05-31,318000,327500,315000,321500,144445,4
2021-06-01,323500,324000,319000,320500,60796,2
2021-06-02,320500,325000,316500,317500,126546,2
2021-06-03,316500,322000,314500,318500,80929,3
2021-06-04,317500,317500,304500,306000,192768,1
2021-06-07,307000,308500,304000,305500,73415,2
2021-06-08,306000,308500,304000,308000,66398,3
2021-06-09,306000,314000,303000,306500,98949,2
2021-06-10,308000,308000,304500,305000,77389,2
2021-06-11,305500,306000,299000,299500,114045,2
2021-06-14,300500,302000,297500,300000,63462,3
2021-06-15,301000,302000,296500,301000,61565,3
2021-06-16,302000,311000,300000,305000,184091,3
2021-06-17,305500,306500,290000,291500,472531,1
2021-06-18,291500,292000,278000,279500,477758,1
2021-06-21,280000,284500,279500,281000,186855,3
2021-06-22,283500,285000,281000,281500,125190,3
2021-06-23,282500,283000,276000,278500,128263,2
2021-06-24,278500,278500,273000,277000,145145,2
2021-06-25,285000,286000,280000,284000,219637,4
2021-06-28,284500,288000,281500,285000,142695,3
2021-06-29,285500,288000,282500,287500,103800,3
